exp_group	utc_date	tn	tp	fn	fp
prod_current_thresh	2020-07-01	62467656,62272124,62088443,61933205,61796662,61675624,61570891,61481690,61406374,61346228,61300349,61269442	3684715,3550762,3417990,3285875,3161487,3045222,2934798,2826545,2720266,2614333,2507710,2400684	253234,390517,526730,662951,791891,912528,1027244,1139723,1249839,1358519,1467269,1575530	525771,717973,898213,1049345,1181336,1298002,1398443,1483418,1554897,1612296,1656048,1685720
prod_current_thresh	2020-07-02	64270450,64062193,63876919,63728421,63607268,63503318,63413756,63338557,63279305,63235111,63202510,63183338	3249303,3097862,2943180,2789197,2645332,2511028,2386268,2265470,2149869,2037321,1926260,1817593	269039,409484,552221,693619,824148,945001,1056093,1162876,1264252,1362943,1460680,1556556	567856,787109,984328,1145411,1279900,1397301,1500531,1589745,1663222,1721273,1767198,1799161
prod_current_thresh	2020-07-03	62628309,62456724,62305770,62175339,62057355,61947715,61843610,61745600,61653065,61566166,61484474,61410582	2523810,2451633,2378965,2309134,2245718,2186957,2129804,2075398,2024518,1974632,1924035,1873499	174553,264002,354176,441724,523152,599758,674460,746186,814449,882030,950124,1017704	362294,516607,650055,762769,862741,954536,1041092,1121782,1196934,1266138,1330333,1387181
prod_current_thresh	2020-07-04	61036189,60800367,60600693,60441247,60302515,60174375,60052598,59942316,59845900,59759815,59684281,59619466	3706545,3550916,3392608,3240139,3098550,2967942,2846173,2731492,2624342,2520592,2418831,2319819	271547,413736,559036,698576,828135,948176,1060816,1168146,1269237,1367494,1465385,1561980	585048,834310,1046992,1219367,1370129,1508836,1639742,1757375,1859850,1951428,2030832,2098064
prod_current_thresh	2020-07-05	62310227,62065213,61855333,61686886,61540762,61416448,61306277,61212501,61132534,61067582,61017644,60981040	4314117,4149541,3988850,3840202,3704775,3582754,3469207,3366201,3270969,3181459,3094997,3008220	286916,444134,598214,740446,869053,983152,1087761,1180473,1264981,1343598,1418365,1492611	641961,894333,1110824,1285687,1438631,1570867,1689976,1794046,1884737,1960582,2022215,2071350
prod_current_thresh	2020-07-06	64933142,64810000,64702958,64622697,64557339,64503081,64456890,64416102,64383798,64356815,64337920,64323771	1712427,1625230,1535140,1448920,1376129,1310368,1251833,1196573,1145579,1093431,1045441,999823	146058,226308,307756,385368,455803,519243,575578,628309,673594,716021,753872,788750	304065,434154,549838,638707,706421,763000,811391,854708,892721,929425,958459,983348
prod_current_thresh	2020-07-07	58180819,57951769,57763268,57602864,57454680,57313045,57170917,57033947,56899401,56767390,56644916,56530308	2446860,2378393,2305478,2236985,2172211,2113537,2055738,2002135,1949483,1897721,1847648,1799762	199936,302031,408181,508429,603419,691398,777171,858102,938113,1016774,1093161,1166706	426292,621714,776980,905629,1023597,1135927,1250081,1359723,1466910,1572022,1668182,1757131
prod_current_thresh	2020-07-08	51456605,51098949,50793720,50529072,50291894,50071477,49871090,49689102,49521982,49368007,49225030,49094677	5586903,5425467,5263662,5109803,4966256,4833893,4717869,4607985,4504152,4405567,4314164,4228197	334989,506989,678541,841873,995060,1137902,1265303,1387179,1502971,1613858,1719158,1820330	761211,1108303,1403785,1658960,1886498,2096436,2285446,2455442,2610603,2752276,2881356,2996504
prod_current_thresh	2020-07-09	56788096,56565375,56372884,56219373,56098712,55999591,55914962,55844439,55786695,55742671,55709346,55690035	3795334,3611069,3430811,3262212,3109059,2969729,2839550,2716507,2601566,2490065,2380959,2276023	295688,442346,585660,717398,833870,936500,1030141,1117242,1196505,1272261,1345694,1414006	572442,832770,1062205,1252577,1409919,1545740,1666907,1773372,1866794,1946563,2015561,2071496
prod_current_thresh	2020-07-10	63270200,63156201,63057952,62974845,62900673,62832700,62769858,62710412,62653426,62599043,62548906,62503380	2091455,2024820,1958965,1896509,1838517,1787235,1740430,1697008,1657121,1618433,1579978,1541426	141072,206793,272449,336003,395757,449210,498644,544946,587796,629322,670354,711882	306759,421672,520120,602129,674539,740341,800554,857120,911143,962688,1010248,1052798
prod_current_thresh	2020-07-11	59574338,59415914,59263910,59131706,59011697,58901648,58799002,58705863,58619918,58541616,58470311,58404985	2692810,2598748,2511118,2425554,2346695,2275476,2211081,2156148,2100489,2044175,1989393,1936514	186874,283763,376113,465746,547862,622337,690963,750792,811174,872225,932455,991131	388145,543742,691026,819161,935913,1042706,1141121,1229364,1310586,1384151,1450008,1509537
prod_current_thresh	2020-07-12	51370238,51192487,51049244,50933818,50838883,50756879,50684193,50619727,50561506,50508316,50459135,50413971	2232959,2131306,2030505,1937223,1852860,1775453,1702476,1633714,1569294,1507132,1446240,1389093	186504,297676,409113,513584,609691,698891,783877,864847,942021,1016626,1089783,1159290	395315,563547,696154,800391,883582,953793,1014470,1066728,1112195,1152942,1189858,1222662
