exp_group	utc_date	tn	tp	fn	fp
prod_f15_thresh	2020-07-01	62218463,61947708,61681381,61439503,61212390,61005256,60819662,60657456,60516051,60395251,60294997,60217536	3783208,3681169,3581343,3484265,3394221,3311297,3232217,3154408,3076165,2997056,2915519,2833103	154741,260110,363377,464561,559157,646453,729825,811860,893940,975796,1059460,1143111	774964,1042389,1305275,1543047,1765608,1968370,2149672,2307652,2445220,2563273,2661400,2737626
prod_f15_thresh	2020-07-02	64001910,63711242,63436114,63193728,62971323,62765755,62580957,62418873,62281971,62169652,62075982,62000137	3350174,3226838,3101245,2977454,2863064,2755906,2654867,2556248,2459461,2365078,2268378,2170527	168168,280508,394156,505362,606416,700123,787494,872098,954660,1035186,1118562,1203622	836396,1138060,1425133,1680104,1915845,2134864,2333330,2509429,2660556,2786732,2893726,2982362
prod_f15_thresh	2020-07-03	62459980,62233474,62025279,61836725,61656893,61483004,61320083,61169385,61029794,60900510,60784507,60679714	2590432,2537669,2485717,2436138,2391940,2350267,2311795,2273264,2234441,2196064,2155950,2113368	107931,177966,247424,314720,376930,436448,492469,548320,604526,660598,718209,777835	530623,739857,930546,1101383,1263203,1419247,1564619,1697997,1820205,1931794,2030300,2118049
prod_f15_thresh	2020-07-04	60761076,60434023,60144092,59892130,59660211,59442133,59240377,59055443,58887548,58737049,58599033,58472183	3811016,3687852,3562195,3441951,3331095,3228663,3131039,3038337,2950085,2862021,2775720,2689849	167076,276800,389449,496764,595590,687455,775950,861301,943494,1026065,1108496,1191950	860161,1200654,1503593,1768484,2012433,2241078,2451963,2644248,2818202,2974194,3116080,3245347
prod_f15_thresh	2020-07-05	62016018,61677754,61372679,61103919,60857128,60632385,60431831,60257387,60107225,59979440,59874692,59791688	4426035,4299633,4176909,4065725,3965412,3875343,3790697,3710396,3632906,3557266,3484100,3411480	174998,294042,410155,514923,608416,690563,766271,836278,903044,967791,1029262,1089351	936170,1281792,1593478,1868654,2122265,2354930,2564422,2749160,2910046,3048724,3165167,3260702
prod_f15_thresh	2020-07-06	64788038,64614704,64455936,64317401,64191340,64072746,63969151,63873983,63790110,63717968,63656868,63603967	1768131,1699350,1628431,1563145,1511475,1465142,1424752,1384612,1345236,1302748,1261214,1220967	90354,152188,214465,271143,320457,364469,402659,440270,473937,506704,538099,567606	449169,629450,796860,944003,1072420,1193335,1299130,1396827,1486409,1568272,1639511,1703152
prod_f15_thresh	2020-07-07	57977810,57662646,57395157,57155864,56930072,56713032,56498544,56292017,56092057,55904862,55731335,55566311	2522287,2479652,2434092,2392965,2352255,2316404,2279719,2242370,2203507,2163268,2125311,2086342	124509,200772,279567,352449,423375,488531,553190,617867,684089,751227,815498,880126	629301,910837,1145091,1352629,1548205,1735940,1922454,2101653,2274254,2434550,2581763,2721128
prod_f15_thresh	2020-07-08	51113926,50600960,50151082,49751852,49383736,49040698,48731042,48441346,48175762,47929533,47698849,47484616	5718376,5613185,5506761,5401920,5301917,5209515,5125281,5044501,4969048,4898889,4833097,4772046	203516,319271,435442,549756,659399,762280,857891,950663,1038075,1120536,1200225,1276481	1103890,1606292,2046423,2436180,2794656,3127215,3425494,3703198,3956823,4190750,4407537,4606565
prod_f15_thresh	2020-07-09	56506344,56168227,55865006,55615528,55404579,55222700,55063788,54926021,54808826,54712849,54636502,54580315	3912270,3770900,3632288,3501534,3379859,3265783,3157409,3053068,2951208,2851264,2752696,2656441	178752,282515,384183,478076,563070,640446,712282,780681,846863,911062,973957,1033588	854194,1229918,1570083,1856422,2104052,2322631,2518081,2691790,2844663,2976385,3088405,3181216
prod_f15_thresh	2020-07-10	63137920,62983693,62841682,62713195,62592818,62481343,62375380,62275120,62180862,62092141,62011231,61937799	2144118,2093071,2043880,1999652,1960193,1925856,1894726,1865582,1837413,1810019,1782546,1756353	88409,138542,187534,232860,274081,310589,344348,376372,407504,437736,467786,496955	439039,594180,736390,863779,982394,1091698,1195032,1292412,1383707,1469590,1547923,1618379
prod_f15_thresh	2020-07-11	59393101,59167761,58942638,58730433,58527207,58337699,58163474,58006319,57862843,57728101,57601390,57482305	2765394,2697329,2635685,2580351,2531112,2487286,2447100,2410424,2374245,2335642,2296229,2256939	114290,185182,251546,310949,363445,410527,454944,496516,537418,580758,625619,670706	569382,791895,1012298,1220434,1420403,1606655,1776649,1928908,2067661,2197666,2318929,2432217
prod_f15_thresh	2020-07-12	51180832,50937164,50729565,50553826,50403029,50267866,50149074,50044254,49949285,49862097,49782711,49713410	2303744,2225750,2147642,2076574,2012358,1951848,1895102,1840966,1785695,1731182,1677875,1628227	115719,203232,291976,374233,450193,522496,591251,657595,725620,792576,858148,920156	584721,818870,1015833,1180383,1319436,1442806,1549589,1642201,1724416,1799161,1866282,1923223
