exp_group	utc_date	tn	tp	fn	fp
prod_f05_thresh	2020-07-01	62760566,62700514,62650283,62616024,62589074,62569828,62556247,62549670,62549778,62556322,62568823,62586175	3412984,3153691,2904039,2670207,2458202,2258134,2070720,1893495,1728579,1576839,1436101,1307614	524965,787588,1040681,1278619,1495176,1699616,1891322,2072773,2241526,2396013,2538878,2668600	232861,289583,336373,366526,388924,403798,413087,415438,411493,402202,387574,368987
prod_f05_thresh	2020-07-02	64579111,64520924,64481533,64463527,64455540,64454473,64461114,64475184,64496197,64524198,64556089,64592458	2985604,2718988,2460491,2220142,2006111,1812534,1637846,1475207,1326012,1188393,1060378,942810	532738,788358,1034910,1262674,1463369,1643495,1804515,1953139,2088109,2211871,2326562,2431339	259195,328378,379714,410305,431628,446146,453173,453118,446330,432186,413619,390041
prod_f05_thresh	2020-07-03	62824824,62753683,62695353,62646312,62604452,62566538,62531170,62498772,62467655,62438713,62412641,62389686	2343439,2193846,2049806,1916874,1797885,1688412,1588269,1494561,1406247,1323980,1245545,1171286	354924,521789,683335,833984,970985,1098303,1215995,1327023,1432720,1532682,1628614,1719917	165779,219648,260472,291796,315644,335713,353532,368610,382344,393591,402166,408077
prod_f05_thresh	2020-07-04	61359954,61291603,61243135,61212311,61190404,61175598,61166912,61164544,61165601,61171734,61180806,61191648	3419101,3134889,2859787,2612839,2394064,2195306,2018288,1857682,1707077,1567949,1436570,1312063	558991,829763,1091857,1325876,1532621,1720812,1888701,2041956,2186502,2320137,2447646,2569736	261283,343074,404550,448303,482240,507613,525428,535147,540149,539509,534307,525882
prod_f05_thresh	2020-07-05	62667495,62594448,62541669,62506757,62481631,62466748,62459259,62461553,62472234,62487691,62508850,62534550	3990663,3670229,3375019,3113401,2884429,2681966,2501258,2335749,2181800,2038365,1900136,1768750	610370,923446,1212045,1467247,1689399,1883940,2055710,2210925,2354150,2486692,2613226,2732081	284693,365098,424488,465816,497762,520567,536994,544994,545037,540473,531009,517840
prod_f05_thresh	2020-07-06	65105465,65070860,65045706,65037981,65036507,65040861,65050741,65062887,65080102,65098385,65115071,65131497	1558370,1401589,1256279,1118614,999218,891440,799116,717426,650765,588940,534812,485687	300115,449949,586617,715674,832714,938171,1028295,1107456,1168408,1220512,1264501,1302886	131742,173294,207090,223423,227253,225220,217540,207923,196417,187855,181308,175622
prod_f05_thresh	2020-07-07	58422747,58333744,58260603,58197487,58140543,58086283,58033440,57983569,57937296,57893874,57853051,57814208	2232107,2063302,1903752,1765049,1643089,1532990,1431682,1337072,1251078,1173144,1098454,1024552	414689,617122,809907,980365,1132541,1271945,1401227,1523165,1636518,1741351,1842355,1941916	184364,239739,279645,311006,337734,362689,387558,410101,429015,445538,460047,473231
prod_f05_thresh	2020-07-08	51890316,51784962,51700073,51622416,51556047,51499894,51449064,51403282,51365211,51331775,51305883,51283352	5192231,4805230,4448506,4147845,3882679,3649573,3447168,3266185,3098734,2938308,2785321,2640914	729661,1127226,1493697,1803831,2078637,2322222,2536004,2728979,2908389,3081117,3248001,3407613	327500,422290,497432,565616,622345,668019,707472,741262,767374,788508,800503,807829
prod_f05_thresh	2020-07-09	57114274,57069452,57044399,57031313,57027387,57034401,57049430,57070262,57092707,57123286,57160594,57204150	3472490,3136425,2818949,2549504,2314964,2108732,1929583,1765172,1608348,1462275,1330416,1210213	618532,916990,1197522,1430106,1627965,1797497,1940108,2068577,2189723,2300051,2396237,2479816	246264,328693,390690,440637,481244,510930,532439,547549,560782,565948,564313,557381
prod_f05_thresh	2020-07-10	63432016,63395190,63369255,63351776,63336155,63321593,63307996,63295783,63284587,63274741,63266488,63261196	1946870,1812454,1682289,1560380,1450867,1351953,1263474,1181762,1105930,1036412,970600,909086	285657,419159,549125,672132,783407,884492,975600,1060192,1138987,1211343,1279732,1344222	144943,182683,208817,225198,239057,251448,262416,271749,279982,286990,292666,294982
prod_f05_thresh	2020-07-11	59794179,59744708,59698251,59666846,59638778,59616288,59596531,59579447,59563568,59548274,59533263,59522335	2481805,2288318,2112408,1945356,1791592,1651102,1526628,1416458,1317964,1228305,1143675,1065481	397879,594193,774823,945944,1102965,1246711,1375416,1490482,1593699,1688095,1778173,1862164	168304,214948,256685,284021,308832,328066,343592,355780,366936,377493,387056,392187
prod_f05_thresh	2020-07-12	51594094,51534916,51492082,51459359,51433376,51412203,51394553,51380161,51367072,51358110,51350935,51345106	2035501,1846705,1672876,1520399,1387362,1271253,1169306,1079682,999006,925553,858739,796676	383962,582277,766742,930408,1075189,1203091,1317047,1418879,1512309,1598205,1677284,1751707	171459,221118,253316,274850,289089,298469,304110,306294,306629,303148,298058,291527
