exp_group	utc_date	tn	tp	fn	fp
prod_thresh_0_7	2020-07-01	62422206,62212149,62013589,61844288,61691703,61557154,61439067,61337552,61249844,61177077,61119235,61078412	3708019,3581112,3455181,3330132,3212567,3103247,2999747,2898269,2797693,2697670,2596532,2495464	229930,360167,489539,618694,740811,854503,962295,1067999,1172412,1275182,1378447,1480750	571221,777948,973067,1138262,1286295,1416472,1530267,1627556,1711427,1781447,1837162,1876750
prod_thresh_0_7	2020-07-02	64221663,63997293,63795877,63631979,63494908,63374995,63269101,63179585,63106477,63049576,63005675,62974738	3272848,3127476,2979057,2831252,2693060,2563752,2444172,2328156,2215573,2107305,1999044,1893391	245494,379870,516344,651564,776420,892277,998189,1100190,1198548,1292959,1387896,1480758	616643,852009,1065370,1241853,1392260,1525624,1645186,1748717,1836050,1906808,1964033,2007761
prod_thresh_0_7	2020-07-03	62597707,62415617,62254785,62114165,61985567,61864739,61749716,61641174,61540058,61445687,61356391,61275817	2539507,2471345,2403248,2337658,2278179,2223062,2170196,2119187,2071820,2024838,1976982,1928552	158856,244290,329893,413200,490691,563653,634068,702397,767147,831824,897177,962651	392896,557714,701040,823943,934529,1037512,1134986,1226208,1309941,1386617,1458416,1521946
prod_thresh_0_7	2020-07-04	60985813,60732898,60517377,60341841,60188419,60045296,59910000,59785131,59676227,59578551,59491158,59413794	3731206,3582442,3430841,3284823,3149234,3023809,2906827,2797256,2694331,2594065,2494504,2397753	246886,382210,520803,653892,777451,892309,1000162,1102382,1199248,1294021,1389712,1484046	635424,901779,1130308,1318773,1484225,1637915,1782340,1914560,2029523,2132692,2223955,2303736
prod_thresh_0_7	2020-07-05	62256636,61992407,61765388,61579607,61417896,61278425,61154295,61047192,60955828,60878959,60816522,60769526	4340783,4184492,4032006,3891542,3763180,3647595,3539600,3440561,3349468,3263683,3180835,3097456	260250,409183,555058,689106,810648,918311,1017368,1106113,1186482,1261374,1332527,1403375	695552,967139,1200769,1392966,1561497,1708890,1841958,1959355,2061443,2149205,2223337,2282864
prod_thresh_0_7	2020-07-06	64906558,64773964,64657330,64566808,64491451,64426233,64368699,64315170,64273282,64237513,64210233,64190050	1725611,1642277,1556451,1474578,1406143,1344746,1290935,1238995,1191419,1141419,1094742,1050224	132874,209261,286445,359710,425789,484865,536476,585887,627754,668033,704571,738349	330649,470190,595466,694596,772309,839848,899582,955640,1003237,1048727,1086146,1117069
prod_thresh_0_7	2020-07-07	58144241,57899014,57696703,57522177,57360197,57204588,57047093,56893948,56743775,56600365,56462880,56336581	2464434,2401727,2334875,2272045,2212957,2159153,2106398,2057227,2008355,1959662,1913185,1868151	182362,278697,378784,473369,562673,645782,726511,803010,879241,954833,1027624,1098317	462870,674469,843545,986316,1118080,1244384,1373905,1499722,1622536,1739047,1850218,1950858
prod_thresh_0_7	2020-07-08	51392701,51006284,50675053,50386263,50125020,49882100,49660471,49455667,49266523,49090825,48926098,48775180	5618247,5469357,5320162,5176983,5043056,4921110,4812824,4710536,4613816,4522644,4437502,4357400	303645,463099,622041,774693,918260,1050685,1170348,1284628,1393307,1496781,1595820,1691127	825115,1200968,1522452,1801769,2053372,2285813,2496065,2688877,2866062,3029458,3180288,3316001
prod_thresh_0_7	2020-07-09	56736764,56492560,56278791,56106585,55967615,55849373,55745967,55657054,55583626,55524253,55479071,55450265	3823131,3648374,3478232,3319544,3175412,3045044,2922716,2807902,2698376,2592194,2488804,2388922	267891,405041,538239,660066,767517,861185,946975,1025847,1099695,1170132,1237849,1301107	623774,905585,1156298,1365365,1541016,1695958,1835902,1960757,2069863,2164981,2245836,2311266
prod_thresh_0_7	2020-07-10	63245742,63124008,63017866,62926871,62844572,62769684,62699248,62632005,62568658,62507089,62451327,62400894	2103863,2040713,1978416,1920015,1866052,1818769,1775565,1735577,1699124,1663398,1627804,1592054	128664,190900,252998,312497,368222,417676,463509,506377,545793,584357,622528,661254	331217,453865,560206,650103,730640,803357,871164,935527,995911,1054642,1107827,1155284
prod_thresh_0_7	2020-07-11	59540754,59370159,59205357,59060376,58925916,58800783,58684803,58580150,58484093,58397191,58316222,58242964	2709879,2621531,2539398,2459766,2388235,2323140,2265819,2215522,2164379,2111533,2061043,2011345	169805,260980,347833,431534,506322,574673,636225,691418,747284,804867,860805,916300	421729,589497,749579,890491,1021694,1143571,1255320,1355077,1446411,1528576,1604097,1671558
prod_thresh_0_7	2020-07-12	51335392,51145612,50990773,50864864,50760210,50668931,50587777,50516150,50450246,50389764,50334691,50286340	2249620,2153072,2056801,1968078,1888029,1813961,1744547,1678944,1616755,1556346,1497867,1442618	169843,275910,382817,482729,574522,660383,741806,819617,894560,967412,1038156,1105765	430161,610422,754625,869345,962255,1041741,1110886,1170305,1223455,1271494,1314302,1350293
