exp_group	utc_date	tn	tp	fn	fp
prod_thresh_0_9	2020-07-01	62601442,62461834,62336820,62240120,62159277,62090434,62033316,61990045,61958258,61939882,61931643,61935334	3595462,3426441,3256872,3088938,2929927,2781491,2641404,2503851,2370479,2238513,2108302,1982242	342487,514838,687848,859888,1023451,1176259,1320638,1462417,1599626,1734339,1866677,1993972	391985,528263,649836,742430,818721,883192,936018,975063,1003013,1018642,1024754,1019828
prod_thresh_0_9	2020-07-02	64411643,64264339,64141348,64055433,63993788,63946405,63910717,63884811,63870665,63868306,63874305,63889999	3160704,2978658,2792440,2607186,2435708,2276753,2129218,1989233,1856907,1730723,1607449,1491262	357638,528688,702961,875630,1033772,1179276,1313143,1439113,1557214,1669541,1779491,1882887	426663,584963,719899,818399,893380,954214,1003570,1043491,1071862,1088078,1095403,1092500
prod_thresh_0_9	2020-07-03	62718425,62587314,62476433,62384284,62303350,62230451,62161341,62095337,62035621,61977691,61924982,61877529	2463880,2370334,2275312,2184700,2101321,2023368,1949581,1879306,1812228,1747056,1684524,1623745	234483,345301,457829,566158,667549,763347,854683,942278,1026739,1109606,1189635,1267458	272178,386017,479392,553824,616746,671800,723361,772045,814378,854613,889825,920234
prod_thresh_0_9	2020-07-04	61183750,61015209,60881899,60782614,60702315,60628341,60562745,60507712,60462410,60425315,60395955,60376235	3611717,3421303,3226326,3040826,2871070,2714453,2568426,2431925,2305329,2184863,2070866,1960424	366375,543349,725318,897889,1055615,1201665,1338563,1467713,1588250,1703223,1813350,1921375	437487,619468,765786,878000,970329,1054870,1129595,1191979,1243340,1285928,1319158,1341295
prod_thresh_0_9	2020-07-05	62471294,62298600,62158794,62053455,61967071,61895589,61837264,61792784,61757110,61734882,61724392,61725585	4209689,4000221,3798294,3609951,3440563,3288436,3151312,3026569,2911340,2803190,2697665,2595636	391344,593454,788770,970697,1133265,1277470,1405656,1520105,1624610,1721867,1815697,1905195	480894,660946,807363,919118,1012322,1091726,1158989,1213763,1260161,1293282,1315467,1326805
prod_thresh_0_9	2020-07-06	65011797,64925827,64855445,64811600,64780672,64760074,64747489,64739796,64740255,64743937,64749784,64758195	1661832,1554273,1445541,1339960,1248330,1164694,1090717,1021211,957389,895362,837608,784393	196653,297265,397355,494328,583602,664917,736694,803671,861784,914090,961705,1004180	225410,318327,397351,449804,483088,506007,520792,531014,536264,542303,546595,548924
prod_thresh_0_9	2020-07-07	58290529,58122978,57987474,57874509,57774264,57678736,57584204,57491449,57402708,57317505,57234693,57158459	2376978,2278912,2176330,2081979,1995258,1914022,1837799,1767891,1701322,1635919,1572820,1513600	269818,401512,537329,663435,780372,890913,995110,1092346,1186274,1278576,1367989,1452868	316582,450505,552774,633984,704013,770236,836794,902221,963603,1021907,1078405,1128980
prod_thresh_0_9	2020-07-08	51650470,51404539,51200245,51022108,50862546,50721808,50599889,50487021,50382436,50286682,50200451,50126197	5461471,5234288,5009625,4806837,4618795,4447236,4295142,4157355,4028901,3907879,3790225,3678914	460421,698168,932578,1144839,1342521,1524559,1688030,1837809,1978222,2111546,2243097,2369613	567346,802713,997260,1165924,1315846,1446105,1556647,1657523,1750149,1833601,1905935,1964984
prod_thresh_0_9	2020-07-09	56938293,56793516,56677287,56591488,56528754,56483347,56447433,56420776,56401206,56390955,56388536,56399888	3688278,3457173,3232168,3025009,2839705,2673945,2524267,2387081,2257638,2135524,2017255,1902563	402744,596242,784303,954601,1103224,1232284,1345424,1446668,1540433,1626802,1709398,1787466	422245,604629,757802,880462,979877,1061984,1134436,1197035,1252283,1298279,1336371,1361643
prod_thresh_0_9	2020-07-10	63342407,63260229,63193462,63140203,63094761,63053692,63014631,62977502,62942871,62910489,62882496,62858302	2044104,1959202,1873803,1790926,1714631,1645597,1583616,1525666,1472291,1420695,1371473,1324684	188423,272411,357611,441586,519643,590848,655458,716288,772626,827060,878859,928624	234552,317644,384610,436771,480451,519349,555781,590030,621698,651242,676658,697876
prod_thresh_0_9	2020-07-11	59674291,59563482,59459833,59375549,59303613,59239961,59179256,59124471,59075101,59030681,58990562,58956220	2624768,2501286,2385567,2271833,2164529,2066664,1977052,1896131,1820331,1750045,1681260,1612613	254916,381225,501664,619467,730028,831149,924992,1010809,1091332,1166355,1240588,1315032	288192,396174,495103,575318,643997,704393,760867,810756,855403,895086,929757,958302
prod_thresh_0_9	2020-07-12	51472076,51344491,51246272,51170066,51109511,51058170,51011528,50973861,50940092,50909503,50882207,50859854	2168695,2041253,1916865,1802647,1700235,1606802,1519906,1441321,1367833,1298883,1233858,1171576	250768,387729,522753,648160,762316,867542,966447,1057240,1143482,1224875,1302165,1376807	293477,411543,499126,564143,612954,652502,687135,712594,733609,751755,766786,776779
